Date,Open,High,Low,Close,Volume
2021-05-11 13:00:00,319.03,323.59,318.57,323.58,10631512
2021-05-11 14:00:00,323.6,323.77,320.06,322.16,12754956
2021-05-11 15:00:00,322.14,324.91,321.02,324.44,8595186
2021-05-11 16:00:00,324.44,325.24,323.01,323.6299,4915555
2021-05-11 17:00:00,323.6301,325.98,323.5,325.15,4724849
2021-05-11 18:00:00,325.15,326.1299,324.26,325.04,5171438
2021-05-11 19:00:00,325.0,326.1,324.05,325.31,8639827
2021-05-12 13:00:00,320.85,322.62,319.97,320.82,9819993
2021-05-12 14:00:00,320.81,320.96,317.88,318.4728,11811051
2021-05-12 15:00:00,318.46,319.65,317.19,317.32,7066903
2021-05-12 16:00:00,317.33,318.27,316.5,318.17,8450266
2021-05-12 17:00:00,318.17,319.19,317.18,317.515,5996868
2021-05-12 18:00:00,317.49,318.75,316.68,317.85,7183437
2021-05-12 19:00:00,317.83,318.02,316.0,316.9,14964345
2021-05-13 14:00:00,320.85,322.4,320.69,321.83,7903542
2021-05-13 15:00:00,321.83,321.95,318.38,318.91,8582023
2021-05-13 16:00:00,318.9,320.53,318.6,318.7201,4613531
2021-05-13 17:00:00,318.72,319.36,316.9,317.94,7099492
2021-05-13 18:00:00,317.94,320.75,317.89,319.98,6933332
2021-05-13 19:00:00,319.98,321.08,319.24,319.35,7997790
2021-05-14 13:00:00,322.77,323.495,322.08,323.48,5480395
2021-05-14 14:00:00,323.47,324.95,322.641,324.93,6609404
2021-05-14 15:00:00,324.95,325.4,324.51,325.0318,4126201
2021-05-14 16:00:00,325.03,325.85,324.91,325.76,2459327
2021-05-14 17:00:00,325.76,326.03,325.44,325.95,2422865
2021-05-14 18:00:00,325.95,327.33,325.79,327.11,5213863
2021-05-14 19:00:00,327.11,327.25,326.13,326.35,8947334
2021-05-17 13:00:00,324.5,325.35,323.41,323.96,5255889
2021-05-17 14:00:00,323.96,324.99,322.79,324.13,6261712
2021-05-17 15:00:00,324.09,324.385,322.56,322.8,3363102
2021-05-17 16:00:00,322.8,323.5198,322.33,322.7401,2404747
